Season,Club,gk_players_used,gk_minutes,gk_minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att_gk,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
2000-2001,Arsenal,3,3420,,38,1.00,133,95,71.4,20,10,8,17,44.7,,,,,
2000-2001,Aston Villa,1,3420,,43,1.13,166,123,74.1,13,15,10,9,23.7,,,,,
2000-2001,Bradford City,3,3583,,73,1.83,275,202,73.5,5,11,22,6,15.8,,,,,
2000-2001,Charlton Ath,3,3420,,58,1.53,195,137,70.3,14,10,14,14,36.8,,,,,
2000-2001,Chelsea,2,3420,,45,1.18,150,105,70.0,17,10,11,10,26.3,,,,,
2000-2001,Coventry City,3,3420,,63,1.66,220,157,71.4,8,10,20,6,15.8,,,,,
2000-2001,Derby County,2,3420,,61,1.61,219,158,72.1,10,12,16,9,23.7,,,,,
2000-2001,Everton,3,3420,,59,1.55,172,113,65.7,11,9,18,8,21.1,,,,,
2000-2001,Ipswich Town,2,3420,,42,1.11,157,115,73.2,20,6,12,13,34.2,,,,,
2000-2001,Leeds United,2,3420,,43,1.13,162,119,73.5,20,8,10,11,28.9,,,,,
2000-2001,Leicester City,2,3420,,51,1.34,202,151,74.8,14,6,18,11,28.9,,,,,
2000-2001,Liverpool,1,3420,,39,1.03,165,126,76.4,20,9,9,14,36.8,,,,,
2000-2001,Manchester City,3,3420,,65,1.71,204,139,68.1,8,10,20,7,18.4,,,,,
2000-2001,Manchester Utd,4,3420,,31,0.82,140,109,77.9,24,8,6,17,44.7,,,,,
2000-2001,Middlesbrough,2,3150,,41,1.17,180,139,77.2,9,15,14,9,23.7,,,,,
2000-2001,Newcastle Utd,2,3420,,50,1.32,179,129,72.1,14,9,15,7,18.4,,,,,
2000-2001,Southampton,2,3420,,48,1.26,182,134,73.6,14,10,14,14,36.8,,,,,
2000-2001,Sunderland,2,3420,,41,1.08,176,135,76.7,15,12,11,13,34.2,,,,,
2000-2001,Tottenham,2,3420,,53,1.39,208,155,74.5,13,10,15,11,28.9,,,,,
2000-2001,West Ham,3,3420,,48,1.26,180,132,73.3,10,12,16,13,34.2,,,,,
2001-2002,Arsenal,3,3420,,36,0.95,178,142,79.8,26,9,3,14,36.8,,,,,
2001-2002,Aston Villa,2,3420,,47,1.24,193,146,75.6,12,14,12,9,23.7,,,,,
2001-2002,Blackburn,2,3420,,51,1.34,250,199,79.6,12,10,16,8,21.1,,,,,
2001-2002,Bolton,4,3420,,62,1.63,248,186,75.0,9,13,16,7,18.4,,,,,
2001-2002,Charlton Ath,1,3420,,49,1.29,223,174,78.0,10,14,14,12,31.6,,,,,
2001-2002,Chelsea,3,3510,,38,0.97,192,154,80.2,17,13,8,15,39.5,,,,,
2001-2002,Derby County,3,3410,,63,1.66,248,185,74.6,8,6,24,7,18.4,,,,,
2001-2002,Everton,2,3420,,57,1.50,241,184,76.3,11,10,17,11,28.9,,,,,
2001-2002,Fulham,2,3420,,44,1.16,207,163,78.7,10,14,14,15,39.5,,,,,
2001-2002,Ipswich Town,3,3150,,64,1.83,224,160,71.4,9,9,20,8,21.1,,,,,
2001-2002,Leeds United,1,3420,,37,0.97,195,158,81.0,18,12,8,18,47.4,,,,,
2001-2002,Leicester City,2,3420,,64,1.68,242,178,73.6,5,13,20,7,18.4,,,,,
2001-2002,Liverpool,3,3330,,30,0.81,156,126,80.8,24,8,6,18,47.4,,,,,
2001-2002,Manchester Utd,2,3440,,44,1.15,168,124,73.8,24,5,9,13,34.2,,,,,
2001-2002,Middlesbrough,3,3399,,47,1.24,249,202,81.1,12,9,17,12,31.6,,,,,
2001-2002,Newcastle Utd,1,3420,,52,1.37,225,173,76.9,21,8,9,9,23.7,,,,,
2001-2002,Southampton,2,3420,,54,1.42,204,150,73.5,12,9,17,9,23.7,,,,,
2001-2002,Sunderland,2,3420,,51,1.34,229,178,77.7,10,10,18,11,28.9,,,,,
2001-2002,Tottenham,2,3420,,53,1.39,199,146,73.4,14,8,16,8,21.1,,,,,
2001-2002,West Ham,2,3420,,57,1.50,215,158,73.5,15,8,15,13,34.2,,,,,
2002-2003,Arsenal,3,3420,,42,1.11,147,105,71.4,23,9,6,10,26.3,,,,,
2002-2003,Aston Villa,2,3420,,47,1.24,176,129,73.3,12,9,17,9,23.7,,,,,
2002-2003,Birmingham City,4,3420,,49,1.29,171,122,71.3,13,9,16,9,23.7,,,,,
2002-2003,Blackburn,2,3420,,43,1.13,207,164,79.2,16,12,10,15,39.5,,,,,
2002-2003,Bolton,1,3420,,51,1.34,189,138,73.0,10,14,14,10,26.3,,,,,
2002-2003,Charlton Ath,2,3420,,56,1.47,190,134,70.5,14,7,17,8,21.1,,,,,
2002-2003,Chelsea,2,3420,,38,1.00,156,118,75.6,19,10,9,13,34.2,,,,,
2002-2003,Everton,4,3420,,49,1.29,173,124,71.7,17,8,13,11,28.9,,,,,
2002-2003,Fulham,3,3420,,50,1.32,197,147,74.6,13,9,16,11,28.9,,,,,
2002-2003,Leeds United,1,3420,,57,1.50,188,131,69.7,14,5,19,10,26.3,,,,,
2002-2003,Liverpool,2,3420,,41,1.08,146,105,71.9,18,10,10,14,36.8,,,,,
2002-2003,Manchester City,2,3420,,54,1.42,184,130,70.7,15,6,17,10,26.3,,,,,
2002-2003,Manchester Utd,3,3420,,34,0.89,122,88,72.1,25,8,5,13,34.2,,,,,
2002-2003,Middlesbrough,1,3420,,44,1.16,184,140,76.1,13,10,15,10,26.3,,,,,
