Season,Position,Club,games,wins,draws,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90
2000-2001,1,Manchester Utd,38,24,8,6,79,31,+48,80,2.11,,,,
2000-2001,2,Arsenal,38,20,10,8,63,38,+25,70,1.84,,,,
2000-2001,3,Liverpool,38,20,9,9,71,39,+32,69,1.82,,,,
2000-2001,4,Leeds United,38,20,8,10,64,43,+21,68,1.79,,,,
2000-2001,5,Ipswich Town,38,20,6,12,57,42,+15,66,1.74,,,,
2000-2001,6,Chelsea,38,17,10,11,68,45,+23,61,1.61,,,,
2000-2001,7,Sunderland,38,15,12,11,46,41,+5,57,1.50,,,,
2000-2001,8,Aston Villa,38,13,15,10,46,43,+3,54,1.42,,,,
2000-2001,9,Charlton Ath,38,14,10,14,50,57,-7,52,1.37,,,,
2000-2001,10,Southampton,38,14,10,14,40,48,-8,52,1.37,,,,
2000-2001,11,Newcastle Utd,38,14,9,15,44,50,-6,51,1.34,,,,
2000-2001,12,Tottenham,38,13,10,15,47,54,-7,49,1.29,,,,
2000-2001,13,Leicester City,38,14,6,18,39,51,-12,48,1.26,,,,
2000-2001,14,Middlesbrough,38,9,15,14,44,44,0,42,1.11,,,,
2000-2001,15,West Ham,38,10,12,16,45,50,-5,42,1.11,,,,
2000-2001,16,Everton,38,11,9,18,45,59,-14,42,1.11,,,,
2000-2001,17,Derby County,38,10,12,16,37,59,-22,42,1.11,,,,
2000-2001,18,Manchester City,38,8,10,20,41,65,-24,34,0.89,,,,
2000-2001,19,Coventry City,38,8,10,20,36,63,-27,34,0.89,,,,
2000-2001,20,Bradford City,38,5,11,22,30,70,-40,26,0.68,,,,
2001-2002,1,Arsenal,38,26,9,3,79,36,+43,87,2.29,,,,
2001-2002,2,Liverpool,38,24,8,6,67,30,+37,80,2.11,,,,
2001-2002,3,Manchester Utd,38,24,5,9,87,45,+42,77,2.03,,,,
2001-2002,4,Newcastle Utd,38,21,8,9,74,52,+22,71,1.87,,,,
2001-2002,5,Leeds United,38,18,12,8,53,37,+16,66,1.74,,,,
2001-2002,6,Chelsea,38,17,13,8,66,38,+28,64,1.68,,,,
2001-2002,7,West Ham,38,15,8,15,48,57,-9,53,1.39,,,,
2001-2002,8,Aston Villa,38,12,14,12,46,47,-1,50,1.32,,,,
2001-2002,9,Tottenham,38,14,8,16,49,53,-4,50,1.32,,,,
2001-2002,10,Blackburn,38,12,10,16,55,51,+4,46,1.21,,,,
2001-2002,11,Southampton,38,12,9,17,46,54,-8,45,1.18,,,,
2001-2002,12,Middlesbrough,38,12,9,17,35,47,-12,45,1.18,,,,
2001-2002,13,Fulham,38,10,14,14,36,44,-8,44,1.16,,,,
2001-2002,14,Charlton Ath,38,10,14,14,38,49,-11,44,1.16,,,,
2001-2002,15,Everton,38,11,10,17,45,57,-12,43,1.13,,,,
2001-2002,16,Bolton,38,9,13,16,44,62,-18,40,1.05,,,,
2001-2002,17,Sunderland,38,10,10,18,29,51,-22,40,1.05,,,,
2001-2002,18,Ipswich Town,38,9,9,20,41,64,-23,36,0.95,,,,
2001-2002,19,Derby County,38,8,6,24,33,63,-30,30,0.79,,,,
2001-2002,20,Leicester City,38,5,13,20,30,64,-34,28,0.74,,,,
2002-2003,1,Manchester Utd,38,25,8,5,74,34,+40,83,2.18,,,,
2002-2003,2,Arsenal,38,23,9,6,85,42,+43,78,2.05,,,,
2002-2003,3,Newcastle Utd,38,21,6,11,63,48,+15,69,1.82,,,,
2002-2003,4,Chelsea,38,19,10,9,68,38,+30,67,1.76,,,,
2002-2003,5,Liverpool,38,18,10,10,61,41,+20,64,1.68,,,,
2002-2003,6,Blackburn,38,16,12,10,52,43,+9,60,1.58,,,,
2002-2003,7,Everton,38,17,8,13,48,49,-1,59,1.55,,,,
2002-2003,8,Southampton,38,13,13,12,43,46,-3,52,1.37,,,,
2002-2003,9,Manchester City,38,15,6,17,47,54,-7,51,1.34,,,,
2002-2003,10,Tottenham,38,14,8,16,51,62,-11,50,1.32,,,,
2002-2003,11,Middlesbrough,38,13,10,15,48,44,+4,49,1.29,,,,
2002-2003,12,Charlton Ath,38,14,7,17,45,56,-11,49,1.29,,,,
2002-2003,13,Birmingham City,38,13,9,16,41,49,-8,48,1.26,,,,
2002-2003,14,Fulham,38,13,9,16,41,50,-9,48,1.26,,,,
2002-2003,15,Leeds United,38,14,5,19,58,57,+1,47,1.24,,,,
2002-2003,16,Aston Villa,38,12,9,17,42,47,-5,45,1.18,,,,
2002-2003,17,Bolton,38,10,14,14,41,51,-10,44,1.16,,,,
2002-2003,18,West Ham,38,10,12,16,42,59,-17,42,1.11,,,,
2002-2003,19,West Brom,38,6,8,24,29,65,-36,26,0.68,,,,
2002-2003,20,Sunderland,38,4,7,27,21,65,-44,19,0.50,,,,
2003-2004,1,Arsenal,38,26,12,0,73,26,+47,90,2.37,,,,
2003-2004,2,Chelsea,38,24,7,7,67,30,+37,79,2.08,,,,
2003-2004,3,Manchester Utd,38,23,6,9,64,35,+29,75,1.97,,,,
2003-2004,4,Liverpool,38,16,12,10,55,37,+18,60,1.58,,,,
2003-2004,5,Newcastle Utd,38,13,17,8,52,40,+12,56,1.47,,,,
2003-2004,6,Aston Villa,38,15,11,12,48,44,+4,56,1.47,,,,
2003-2004,7,Charlton Ath,38,14,11,13,51,51,0,53,1.39,,,,
2003-2004,8,Bolton,38,14,11,13,48,56,-8,53,1.39,,,,
2003-2004,9,Fulham,38,14,10,14,52,46,+6,52,1.37,,,,
2003-2004,10,Birmingham City,38,12,14,12,43,48,-5,50,1.32,,,,
2003-2004,11,Middlesbrough,38,13,9,16,44,52,-8,48,1.26,,,,
2003-2004,12,Southampton,38,12,11,15,44,45,-1,47,1.24,,,,
2003-2004,13,Portsmouth,38,12,9,17,47,54,-7,45,1.18,,,,
2003-2004,14,Tottenham,38,13,6,19,47,57,-10,45,1.18,,,,
2003-2004,15,Blackburn,38,12,8,18,51,59,-8,44,1.16,,,,
2003-2004,16,Manchester City,38,9,14,15,55,54,+1,41,1.08,,,,
