Season,Club,o_players_used,o_avg_age,o_possession,o_games_starts,o_minutes,o_minutes_90s,o_goals,o_assists,o_goals_pens,o_pens_made,o_pens_att,o_cards_yellow,o_cards_red,o_goals_per90,o_assists_per90,o_goals_assists_per90,o_goals_pens_per90,o_goals_assists_pens_per90,o_xg,o_npxg,o_xa,o_npxg_xa,o_xg_per90,o_xa_per90,o_xg_xa_per90,o_npxg_per90,o_npxg_xa_per90
2000-2001,Arsenal,26,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Aston Villa,22,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Bradford City,27,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Charlton Ath,27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Chelsea,26,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Coventry City,28,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Derby County,31,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Everton,31,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Ipswich Town,23,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Leeds United,24,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Leicester City,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Liverpool,24,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Manchester City,30,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Manchester Utd,28,26.7,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Middlesbrough,27,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Newcastle Utd,28,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Southampton,24,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Sunderland,27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,Tottenham,29,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,West Ham,34,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Arsenal,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Aston Villa,22,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Blackburn,25,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Bolton,30,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Charlton Ath,25,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Chelsea,25,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Derby County,32,27.3,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Everton,28,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Fulham,24,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ipswich Town,26,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Leeds United,21,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Leicester City,33,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Liverpool,27,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Manchester Utd,28,26.8,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Middlesbrough,34,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Newcastle Utd,22,27.4,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Southampton,29,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Sunderland,25,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Tottenham,24,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,West Ham,28,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Arsenal,28,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Aston Villa,27,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Birmingham City,33,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Blackburn,28,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Bolton,27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Charlton Ath,26,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Chelsea,23,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Everton,28,26.9,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Fulham,27,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Leeds United,28,27.1,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Liverpool,23,27.2,,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,Manchester City,26,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
