Season,Club,shots_on_target,shots_on_target_per90
2000-2001,Arsenal,267,7.03
2000-2001,Aston Villa,166,4.37
2000-2001,Bradford City,123,3.24
2000-2001,Charlton Ath,216,5.68
2000-2001,Chelsea,220,5.79
2000-2001,Coventry City,160,4.21
2000-2001,Derby County,145,3.82
2000-2001,Everton,189,4.97
2000-2001,Ipswich Town,205,5.39
2000-2001,Leeds United,229,6.03
2000-2001,Leicester City,179,4.71
2000-2001,Liverpool,228,6.00
2000-2001,Manchester City,165,4.34
2000-2001,Manchester Utd,251,6.61
2000-2001,Middlesbrough,175,4.61
2000-2001,Newcastle Utd,183,4.82
2000-2001,Southampton,173,4.55
2000-2001,Sunderland,195,5.13
2000-2001,Tottenham,185,4.87
2000-2001,West Ham,217,5.71
2001-2002,Arsenal,292,7.68
2001-2002,Aston Villa,202,5.32
2001-2002,Blackburn,253,6.66
2001-2002,Bolton,205,5.39
2001-2002,Charlton Ath,212,5.58
2001-2002,Chelsea,237,6.24
2001-2002,Derby County,163,4.29
2001-2002,Everton,213,5.61
2001-2002,Fulham,180,4.74
2001-2002,Ipswich Town,231,6.08
2001-2002,Leeds United,267,7.03
2001-2002,Leicester City,167,4.39
2001-2002,Liverpool,262,6.89
2001-2002,Manchester Utd,289,7.61
2001-2002,Middlesbrough,142,3.74
2001-2002,Newcastle Utd,265,6.97
2001-2002,Southampton,168,4.42
2001-2002,Sunderland,190,5.00
2001-2002,Tottenham,212,5.58
2001-2002,West Ham,210,5.53
2002-2003,Arsenal,259,6.82
2002-2003,Aston Villa,196,5.16
2002-2003,Birmingham City,141,3.71
2002-2003,Blackburn,174,4.58
2002-2003,Bolton,152,4.00
2002-2003,Charlton Ath,156,4.11
2002-2003,Chelsea,222,5.84
2002-2003,Everton,182,4.79
2002-2003,Fulham,182,4.79
2002-2003,Leeds United,176,4.63
2002-2003,Liverpool,209,5.50
2002-2003,Manchester City,168,4.42
2002-2003,Manchester Utd,235,6.18
2002-2003,Middlesbrough,139,3.66
2002-2003,Newcastle Utd,221,5.82
2002-2003,Southampton,191,5.03
2002-2003,Sunderland,142,3.74
2002-2003,Tottenham,166,4.37
2002-2003,West Brom,167,4.39
2002-2003,West Ham,185,4.87
2003-2004,Arsenal,235,6.18
2003-2004,Aston Villa,182,4.79
2003-2004,Birmingham City,161,4.24
2003-2004,Blackburn,184,4.84
2003-2004,Bolton,212,5.58
2003-2004,Charlton Ath,154,4.05
2003-2004,Chelsea,216,5.68
2003-2004,Everton,160,4.21
2003-2004,Fulham,154,4.05
2003-2004,Leeds United,134,3.53
2003-2004,Leicester City,168,4.42
2003-2004,Liverpool,221,5.82
2003-2004,Manchester City,198,5.21
2003-2004,Manchester Utd,182,4.79
2003-2004,Middlesbrough,182,4.79
2003-2004,Newcastle Utd,178,4.68
2003-2004,Portsmouth,167,4.39
2003-2004,Southampton,175,4.61
2003-2004,Tottenham,186,4.89
2003-2004,Wolves,177,4.66
2004-2005,Arsenal,301,7.92
2004-2005,Aston Villa,213,5.61
2004-2005,Birmingham City,158,4.16
2004-2005,Blackburn,196,5.16
2004-2005,Bolton,260,6.84
2004-2005,Charlton Ath,171,4.50
2004-2005,Chelsea,310,8.16
2004-2005,Crystal Palace,191,5.03
2004-2005,Everton,173,4.55
2004-2005,Fulham,187,4.92
2004-2005,Liverpool,245,6.45
2004-2005,Manchester City,213,5.61
2004-2005,Manchester Utd,337,8.87
2004-2005,Middlesbrough,242,6.37
2004-2005,Newcastle Utd,240,6.32
2004-2005,Norwich City,183,4.82
2004-2005,Portsmouth,173,4.55
2004-2005,Southampton,173,4.55
2004-2005,Tottenham,242,6.37
