Season,Club,players_used,avg_age,possession,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
2000-2001,Arsenal,26,28.3,,418,,,62,52,61,1,2,48,3,1.63,1.37,3.00,1.61,2.97,,,,,,,,,
2000-2001,Aston Villa,22,28.0,,419,,,46,35,45,1,1,64,3,1.21,0.92,2.13,1.18,2.11,,,,,,,,,
2000-2001,Bradford City,27,30.4,,366,,,26,17,23,3,5,58,1,0.68,0.45,1.13,0.61,1.05,,,,,,,,,
2000-2001,Charlton Ath,27,26.8,,418,,,47,33,44,3,3,47,2,1.24,0.87,2.11,1.16,2.03,,,,,,,,,
2000-2001,Chelsea,26,28.1,,411,,,67,49,63,4,4,75,2,1.76,1.29,3.05,1.66,2.95,,,,,,,,,
2000-2001,Coventry City,28,25.7,,418,,,33,22,30,3,3,76,2,0.87,0.58,1.45,0.79,1.37,,,,,,,,,
2000-2001,Derby County,31,25.2,,415,,,36,24,34,2,3,79,3,0.95,0.63,1.58,0.89,1.53,,,,,,,,,
2000-2001,Everton,31,27.0,,414,,,45,28,40,5,7,78,4,1.18,0.74,1.92,1.05,1.79,,,,,,,,,
2000-2001,Ipswich Town,23,26.4,,438,,,56,39,53,3,3,32,2,1.47,1.03,2.50,1.39,2.42,,,,,,,,,
2000-2001,Leeds United,24,24.6,,425,,,63,44,60,3,4,72,3,1.66,1.16,2.82,1.58,2.74,,,,,,,,,
2000-2001,Leicester City,29,27.3,,425,,,39,31,36,3,3,57,2,1.03,0.82,1.84,0.95,1.76,,,,,,,,,
2000-2001,Liverpool,24,25.4,,415,,,70,48,67,3,4,53,4,1.84,1.26,3.11,1.76,3.03,,,,,,,,,
2000-2001,Manchester City,30,26.1,,434,,,38,28,36,2,2,68,3,1.00,0.74,1.74,0.95,1.68,,,,,,,,,
2000-2001,Manchester Utd,28,26.9,,418,,,77,60,75,2,3,44,3,2.03,1.58,3.61,1.97,3.55,,,,,,,,,
2000-2001,Middlesbrough,27,29.4,,438,,,43,25,40,3,3,73,6,1.13,0.66,1.79,1.05,1.71,,,,,,,,,
2000-2001,Newcastle Utd,28,25.8,,424,,,42,27,37,5,7,48,5,1.11,0.71,1.82,0.97,1.68,,,,,,,,,
2000-2001,Southampton,24,27.2,,433,,,40,28,40,0,0,49,1,1.05,0.74,1.79,1.05,1.79,,,,,,,,,
2000-2001,Sunderland,27,26.4,,395,,,46,32,44,2,4,78,5,1.21,0.84,2.05,1.16,2.00,,,,,,,,,
2000-2001,Tottenham,29,26.3,,418,,,46,31,43,3,4,47,3,1.21,0.82,2.03,1.13,1.95,,,,,,,,,
