Season,Club,Turnover £m,Wage Bill £m
2009-2010,Arsenal FC,382,110
2009-2010,Aston Villa,91,80
2009-2010,Birmingham City,56,38
2009-2010,Blackburn Rovers,58,47
2009-2010,Blackpool FC,9,13
2009-2010,Bolton Wanderers,62,46
2009-2010,Chelsea FC,213,174
2009-2010,Everton FC,79,54
2009-2010,Fulham FC,77,49
2009-2010,Liverpool FC,185,121
2009-2010,Manchester City,125,133
2009-2010,Manchester United,286,131
2009-2010,Newcastle United,52,47
2009-2010,Stoke City,59,45
2009-2010,Sunderland AFC,65,54
2009-2010,Tottenham Hotspur,119,67
2009-2010,West Bromwich Albion,28,23
2009-2010,West Ham United,72,54
2009-2010,Wigan Athletic,43,39
2009-2010,Wolverhampton Wanderers,61,30
2010-2011,Arsenal FC,256,124
2010-2011,Aston Villa,92,83
2010-2011,Birmingham City,56,38
2010-2011,Blackburn Rovers,58,50
2010-2011,Blackpool FC,52,25
2010-2011,Bolton Wanderers,68,56
2010-2011,Chelsea FC,222,190
2010-2011,Everton FC,82,58
2010-2011,Fulham FC,77,58
2010-2011,Liverpool FC,184,135
2010-2011,Manchester City,153,174
2010-2011,Manchester United,331,153
2010-2011,Newcastle United,89,54
2010-2011,Stoke City,67,47
2010-2011,Sunderland AFC,79,61
2010-2011,Tottenham Hotspur,163,91
2010-2011,West Bromwich Albion,59,37
2010-2011,West Ham United,81,56
2010-2011,Wigan Athletic,51,40
2010-2011,Wolverhampton Wanderers,64,38
2011-2012,Arsenal FC,245,143
2011-2012,Aston Villa,80,70
2011-2012,Blackburn Rovers,54,50
2011-2012,Bolton Wanderers,65,55
2011-2012,Chelsea FC,261,173
2011-2012,Everton FC,81,63
2011-2012,Fulham FC,79,62
2011-2012,Liverpool FC,169,119
2011-2012,Manchester City,231,202
2011-2012,Manchester United,320,162
2011-2012,Newcastle United,93,64
2011-2012,Norwich City,75,37
2011-2012,Queens Park Rangers,64,58
2011-2012,Stoke City,71,53
2011-2012,Sunderland AFC,78,64
2011-2012,Swansea City,65,35
2011-2012,Tottenham Hotspur,144,90
2011-2012,West Bromwich Albion,67,50
2011-2012,Wigan Athletic,53,38
2011-2012,Wolverhampton Wanderers,60,38
2012-2013,Arsenal FC,283,154
2012-2013,Aston Villa,84,72
2012-2013,Chelsea FC,260,179
2012-2013,Everton FC,86,63
2012-2013,Fulham FC,73,67
2012-2013,Liverpool FC,206,132
2012-2013,Manchester City,271,233
2012-2013,Manchester United,363,181
2012-2013,Newcastle United,96,62
2012-2013,Norwich City,75,51
2012-2013,Queens Park Rangers,61,78
2012-2013,Reading FC,59,46
2012-2013,Southampton FC,72,47
2012-2013,Stoke City,67,60
2012-2013,Sunderland AFC,76,58
2012-2013,Swansea City,67,49
2012-2013,Tottenham Hotspur,147,96
2012-2013,West Bromwich Albion,70,54
2012-2013,West Ham United,91,56
2012-2013,Wigan Athletic,56,44
2013-2014,Arsenal FC,304,166
2013-2014,Aston Villa,117,69
