Year,Season,Club,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,id,matches,awardedMatches
2021,2021-2022,Manchester City,99,26,0,63,713,7,9,0,17,81,15,498,215,14,46,36,122,87,65,254,248,211,425,741,316,24,19,2,17,68.236842105263,26132,23434,89.675493647635,10518,9826,93.420802433923,16483,13776,83.577018746587,1596,1020,63.90977443609,869,168,19.332566168009,21,498,279,62,1,6,1,1,368,3,6,3352,1736,51.789976133652,2467,1252,50.749898662343,885,484,54.689265536723,4665,66,321,42,0,1,7.1843813387424,1610,3367,6018,9297,41,30,26,866,108,88,397,509,282,12,12,9,374,182,796,1973,94,3,237,54,164,73,95,88,54,632,2696,5510,6972,12085,66,6278,38,0
2021,2021-2022,Liverpool,94,26,1,71,729,7,8,1,13,86,8,490,239,16,39,39,132,97,59,256,259,214,343,635,282,9,32,4,29,63.210526315789,23588,20032,84.924537900627,9889,9044,91.455152189301,14596,11209,76.795012332146,1782,993,55.723905723906,897,221,24.63768115942,21,554,341,82,2,6,0,0,499,4,5,3571,1755,49.145897507701,2525,1181,46.772277227723,1046,574,54.875717017208,5688,63,363,50,0,1,7.1622309197652,1980,4062,6278,10245,53,45,39,968,117,95,460,577,343,6,12,10,487,230,958,2410,144,3,297,72,196,101,114,111,72,657,3300,6747,7453,13740,63,6232,38,0
2021,2021-2022,Chelsea,76,33,1,52,592,8,9,1,26,62,13,383,209,12,26,37,94,72,53,211,205,176,364,624,241,17,19,0,19,62.263157894737,23179,20200,87.147849346391,10430,9512,91.198465963567,13494,10844,80.361642211353,1511,843,55.790866975513,745,156,20.939597315436,16,621,347,84,6,9,6,6,616,4,2,3741,1914,51.162790697674,2709,1372,50.645994832041,1032,542,52.519379844961,4974,69,409,63,0,1,7.0629558541267,2526,5068,5880,10827,49,34,30,761,151,121,533,567,310,5,7,5,376,232,783,1934,67,4,341,97,213,128,125,119,97,643,3944,7715,6765,13947,68,6211,38,0
2021,2021-2022,Tottenham Hotspur,69,40,1,50,491,5,5,1,16,56,7,325,166,8,24,31,104,84,60,198,160,133,375,667,193,13,26,4,22,51.815789473684,19165,16291,85.003913383772,9528,8565,89.892947103275,10269,7877,76.706592657513,1357,678,49.963154016212,632,151,23.892405063291,16,598,355,98,3,12,2,2,758,5,1,3764,1940,51.54091392136,2697,1375,50.982573229514,1067,565,52.952202436739,4756,62,386,68,1,1,7.0175196850394,3717,7702,7110,14649,46,35,26,635,192,163,740,585,322,3,7,11,368,359,957,1978,43,6,492,159,309,183,191,142,159,632,5122,10496,7849,17605,79,6277,38,0
2021,2021-2022,Arsenal,61,48,1,41,589,5,8,1,22,50,10,372,217,7,27,25,69,39,42,198,220,171,319,590,208,18,23,6,18,53.026315789474,18290,15254,83.400765445599,8171,7337,89.793170970505,10752,8066,75.018601190476,1280,609,47.578125,633,149,23.538704581359,13,540,296,100,5,15,6,5,636,0,5,3456,1678,48.553240740741,2409,1208,50.145288501453,1047,470,44.890162368672,4881,66,365,63,3,4,6.8976833976834,3047,6504,6953,13324,67,53,35,697,175,133,606,501,256,4,14,13,365,316,869,2013,64,3,425,127,263,162,151,147,127,607,4347,9117,7913,16424,67,6194,38,0
2021,2021-2022,Manchester United,57,57,3,46,508,3,5,1,19,48,8,325,183,6,10,40,81,66,50,187,177,144,368,631,197,13,24,4,21,52.736842105263,19035,15757,82.779091147885,8662,7578,87.485569152621,11032,8330,75.507614213198,1526,845,55.373525557012,659,151,22.913505311077,8,585,340,128,4,16,5,3,673,4,2,3596,1828,50.83426028921,2595,1270,48.940269749518,1001,558,55.744255744256,5133,88,396,76,1,2,6.8996204933586,3320,7016,7298,14176,75,58,46,654,207,138,648,608,343,7,10,11,430,367,905,2020,72,1,511,131,325,186,196,184,131,596,4775,9874,8142,17368,48,6199,38,0
2021,2021-2022,West Ham United,60,51,2,46,449,4,6,1,13,50,8,306,143,8,21,27,73,52,37,157,164,128,306,545,200,10,24,6,20,47.710526315789,16579,13362,80.595934616081,7570,6656,87.926023778071,9811,6863,69.952094587708,1559,733,47.017318794099,802,157,19.576059850374,8,534,374,116,1,4,6,2,755,2,1,3536,1753,49.575791855204,2263,1111,49.09412284578,1273,642,50.432050274941,5144,59,323,49,2,3,6.9087221095335,3912,7893,7638,15365,58,44,36,717,200,166,758,557,317,3,6,17,337,416,886,1969,35,3,548,178,351,197,203,167,178,532,5365,10800,8513,18555,48,6270,38,0
2021,2021-2022,Leicester City,62,59,1,45,435,2,2,1,14,55,7,269,166,5,20,37,73,51,37,169,148,118,297,547,185,9,19,4,15,52.184210526316,18578,15195,81.790289589837,9781,8663,88.569675902259,9353,6630,70.886346626751,1388,602,43.371757925072,556,98,17.625899280576,7,690,367,135,3,12,9,7,727,4,3,3847,1913,49.72706004679,2761,1381,50.018109380659,1086,532,48.987108655617,5260,60,356,55,0,1,6.8611538461539,3475,7109,6876,13784,89,61,56,596,218,201,738,720,414,7,6,12,401,416,905,2049,73,0,565,150,392,173,218,197,150,618,5064,10023,7770,17055,60,6215,38,0
2021,2021-2022,Brighton & Hove Albion,42,44,0,30,489,4,7,0,15,32,8,298,191,8,5,26,62,49,40,152,197,140,317,559,200,11,8,2,6,54.605263157895,18835,15385,81.683036899389,8853,7992,90.274483226025,10710,7579,70.765639589169,1552,751,48.389175257732,728,186,25.549450549451,11,668,358,104,0,12,4,3,684,4,3,3691,1910,51.747493904091,2618,1338,51.107715813598,1073,572,53.308480894688,5405,53,393,73,0,2,6.9210325047801,3153,6105,6389,12383,58,40,35,703,211,111,680,564,320,1,7,17,389,342,846,2015,42,0,476,155,291,185,169,152,155,591,4447,8837,7559,15716,80,6218,38,0
2021,2021-2022,Wolverhampton,38,43,1,22,402,1,1,1,13,27,8,239,163,5,11,19,58,41,40,136,158,108,450,771,168,12,33,3,31,49.526315789474,17517,14236,81.269623794029,9158,7960,86.918541166193,8946,6413,71.685669572994,1766,899,50.906002265006,587,137,23.339011925043,11,673,389,125,5,15,10,9,771,4,3,3825,1919,50.169934640523,2866,1454,50.732728541521,959,465,48.488008342023,5174,61,366,61,2,2,6.8905511811024,3543,7311,7661,14827,70,48,40,599,204,145,721,671,398,4,10,11,383,369,841,1836,85,3,509,136,339,170,202,171,136,662,5128,10276,8376,17931,87,6216,38,0
